TaskID,TaskName,StartDate,EndDate,Duration,Predecessor,Progress,ParentID,Work,Resources,Indicators
1,"Product concept","2024-04-02T00:00:00.000Z","2024-04-21T00:00:00.000Z",,,,,,,
2,"Defining the product and its usage","2024-04-02T00:00:00.000Z",,3,,30,1,16,"[{""resourceId"":1,""unit"":70},6]",
3,"Defining target audience","2024-04-02T00:00:00.000Z",,3,,,1,96,"[2,3,5]",
4,"Prepare product sketch and notes","2024-04-02T00:00:00.000Z",,2,"2",30,1,16,"[8, { ""resourceId"": 2, ""unit"": 50 }]",
5,"Concept approval","2024-04-02T00:00:00.000Z",,0,"3,4",,,,,"[{ ""date"": ""04/10/2024"", ""name"": ""Design Phase"", ""tooltip"": ""Design phase completed"", ""iconClass"": ""okIcon e-icons"" }]"
6,"Market research","2024-04-02T00:00:00.000Z","2024-04-21T00:00:00.000Z",,,,,,,
7,"Demand analysis","2024-04-04T00:00:00.000Z","2024-04-21T00:00:00.000Z",,,,6,30,"[{""resourceId"":3,""unit"":50}]",
8,"Customer strength","2024-04-04T00:00:00.000Z",,4,"5",30,7,48,"[4, 8]",
9,"Market opportunity analysis","2024-04-04T00:00:00.000Z",,4,"5",,7,,,
10,"Competitor analysis","2024-04-04T00:00:00.000Z",,4,"7,8",30,6,60,"[12, { ""resourceId"": 4, ""unit"": 70 }]",
11,"Product strength analsysis","2024-04-04T00:00:00.000Z",,4,"9",,6,,,
12,"Research complete","2024-04-04T00:00:00.000Z",,0,"10",,6,,,"[{ ""date"": ""04/27/2024"", ""name"": ""Research completed"", ""tooltip"": ""Research completed"", ""iconClass"": ""description e-icons"" }]"
13,"Product design and development","2024-04-04T00:00:00.000Z","2024-04-21T00:00:00.000Z",,,,,,,
14,"Functionality design","2024-04-04T00:00:00.000Z",,3,"12",30,13,20,"[{ ""resourceId"": 5, ""unit"": 70 }, 6]",
15,"Quality design","2024-04-04T00:00:00.000Z",,3,"12",,13,86,"[6, 7, 8]",
16,"Define reliability","2024-04-04T00:00:00.000Z",,2,"15",30,13,16,"[8, { ""resourceId"": 6, ""unit"": 50 }]",
17,"Identifying raw materials","2024-04-04T00:00:00.000Z",,2,"15",,13,40,"[{""resourceId"":12,""unit"":80}]",
18,"Define cost plan","2024-04-04T00:00:00.000Z","2024-04-21T00:00:00.000Z",,,,13,38,"[5, 6]",
19,"Manufacturing cost","2024-04-04T00:00:00.000Z",,2,"17",30,18,30,"[10, { ""resourceId"": 8, ""unit"": 60 }]",
20,"Selling cost","2024-04-04T00:00:00.000Z",,2,"17",,18,,,
21,"Development of the final design","2024-04-04T00:00:00.000Z","2024-04-21T00:00:00.000Z",,,,13,,,
22,"Defining dimensions and package volume","2024-04-04T00:00:00.000Z",,2,"19,20",30,21,26,"[{ ""resourceId"": 9, ""unit"": 60 }, 6]",
23,"Develop design to meet industry standards","2024-04-04T00:00:00.000Z",,2,"12",,21,96,"[1, 2, 3]",
24,"Include all the details","2024-04-04T00:00:00.000Z",,3,"23",,21,36,"[8, { ""resourceId"": 10, ""unit"": 70 }]",
25,"CAD computer-aided design","2024-04-04T00:00:00.000Z",,3,"24",30,13,30,"[{ ""resourceId"": 11, ""unit"": 80 }]",
26,"CAM computer-aided manufacturing","2024-04-04T00:00:00.000Z",,3,"25",,13,38,"[4, 8]",
27,"Design complete","2024-04-04T00:00:00.000Z",,0,"26",,13,50,"[12, { ""resourceId"": 12, ""unit"": 80 }]",
28,"Prototype testing","2024-04-04T00:00:00.000Z",,4,"27",30,,,,
29,"Include feedback","2024-04-04T00:00:00.000Z",,4,"28ss",,,,,"[{ ""date"": ""05/24/2024"", ""name"": ""Production phase"", ""tooltip"": ""Production phase completed"", ""iconClass"": ""okIcon e-icons"" }]"
30,"Manufacturing","2024-04-04T00:00:00.000Z",,5,"28,29",30,,,,
31,"Assembling materials to finsihed goods","2024-04-04T00:00:00.000Z",,5,"30",,,,,
32,"Feedback and testing","2024-04-04T00:00:00.000Z","2024-04-21T00:00:00.000Z",,,,,,,
33,"Internal testing and feedback","2024-04-04T00:00:00.000Z",,3,"31",45,32,56,"[6, 7, 8]",
34,"Customer testing and feedback","2024-04-04T00:00:00.000Z",,3,"33",50,32,58,"[5, 7]",
35,"Final product development","2024-04-04T00:00:00.000Z","2024-04-21T00:00:00.000Z",,,,,,,
36,"Important improvements","2024-04-04T00:00:00.000Z",,4,"34",30,35,43,"[5, 7, 9]",
37,"Address any unforeseen issues","2024-04-04T00:00:00.000Z",,4,"36ss",30,35,32,"[8, 12]","[{ ""date"": ""06/21/2024"", ""name"": ""Sales and marketing"", ""tooltip"": ""Sales and marketing"", ""iconClass"": ""description e-icons"" }]"
38,"Final product","2024-04-04T00:00:00.000Z","2024-04-21T00:00:00.000Z",,,,,,,
39,"Branding product","2024-04-04T00:00:00.000Z",,4,"37",,38,54,"[{ ""resourceId"": 13, ""unit"": 90 }, 5]",
40,"Marketing and presales","2024-04-04T00:00:00.000Z",,4,"39",30,38,21,"[5, { ""resourceId"": 14, ""unit"": 40 }]",
